movie_code,movie_title_kr,movie_title_eng,movie_genre,movie_nation,movie_directior,movie_img_url,movie_story,movie_actor1,movie_actor2,movie_actor3,,,
20110221,소스 코드,Source Code,"액션,SF,스릴러","미국,프랑스",던칸 존스,http://cfile78.uf.daum.net/C110x160/140C4B4F4D907E38151707,"주어진 시간은 단 8분, 과거에 접속해 미래를 구하라! 도시를 위협하는 열차 폭탄 테러 사건 해결을 위해 호출된 콜터 대위. 시공간 이동 시스템인 ‘소스 코드’로 과거에 접속해 기차 테러로 희생된 한 남자의 마지막 8분으로 들어가 폭탄을 찾고 범인을 잡아야 하는 임무를 부여 받는다. 이 임무가 성공해야만 6시간 뒤로 예고된 대형 폭탄 테러를 막아 미래를 구할 수 있다. 그는 모든 직감을 이용해 사건의 단서와 용의자를 찾아야 하는데…… 주어진 시간은 단 8분, 소스 코드를 통한 미래와의 피할 수 없는 전면전이 시작된다! ‘소스 코드’란? 최첨단 기밀 시스템으로 과거에 접속해 미래를 바꾸는 시공간 이동 프로그램",제이크 질렌할,미셸 모나한,베라 파미가,,,
19480019,주정뱅이 천사,Drunken Angel,드라마,일본,구로사와 아키라,http://cfile89.uf.daum.net/C110x160/1940521349D8BE798DFAA1,"전후의 일본, 한차례의 세력 다툼이 있은 후, 두목이 된 젊은 야쿠자가 알콜 중독자인 의사에게 치료를 받는다. 의사는 그 젊은이에게 결핵이라는 진단을 내리고 치료할 것을 권하며 곧 두 사람 사이에는 묘한 우정이 싹튼다. 하지만 얼마 후, 감옥에서 출소한 이전의 두목이 자신의 자리를 되찾으려 하면서 그 젊은 야쿠자는 곤경에 처하게 되는데...",시무라 다카시,미후네 도시로,야마모토 레이자부로,,,
19570030,거미의 성,"Throne Of Blood, The Castle Of The Spider's Web",드라마,일본,구로사와 아키라,http://cfile89.uf.daum.net/C110x160/11509E0F49AA9607929554,전쟁에서 이기고 성으로 돌아가던 와시즈는 산속에서 길을 잃고 헤매다가 마녀를 만난다. 마녀로부터 새 영주가 될 것이라는 예언을 들은 와시즈는 갈등에 휩싸이다 결국 영주를 죽이고 권력을 차지하는데...,미후네 도시로,야마다 이스즈,시무라 다카시,,,
19600049,나쁜 놈일 수록 잘 잔다,The Bad Sleep Well,"드라마,스릴러",일본,구로사와 아키라,http://cfile118.uf.daum.net/C110x160/19335B194C33D00264BD9F,어느 대기업 회장의 딸과 회장 비서의 결혼식장에 케이크가 배달된다. 몇 년 전 기업의 뇌물 수수 스캔들을 잠재우기 위해 강제적으로 투신자살한 간부의 아들이 보낸 것이다. 케이크의 배달을 시작으로 그의 복수가 시작되는데...,미후네 도시로,모리 마사유키,가가와 교코,,,
19618003,슈퍼 에이트,Super 8,SF,미국,J.J. 에이브럼스,http://cfile79.uf.daum.net/C110x160/1644DB4A4DF1D0222781EA,"1979년, 기차 플랫폼 부근에서 슈퍼 8mm 카메라로 영화를 촬영하던 6명의 아이들은 열차를 향해 전속력으로 돌진해가는 의문의 트럭을 발견한다. 순식간에 벌어진 끔찍한 열차 탈선 사고로 현장은 초토화가 되고, 아이들은 자신들이 우연히 목격한 모든 것을 비밀에 부치기로 한다. 하지만 그 날 이후 정체를 알 수 없는 무언가의 공격이 시작되는데… 비밀 지역 51구역 폐쇄와 함께 그 곳의 모든 것을 옮기던 열차 누군가가 의도한 사고를 틈타 탈출한 ‘그것’ 그리고, 그 날의 모든 것을 촬영한 슈퍼 8mm 카메라 진실을 포착한 6명의 아이들! 정체불명 '그것'의 공격에 맞서기 시작한다!",조엘 코트니,엘르 패닝,카일 챈들러,,,
19698020,더 문,Moon,"SF,스릴러,드라마,미스터리",영국,던칸 존스,http://cfile89.uf.daum.net/C110x160/160234244AF1F49F100277,"근무기간 3년. 미래의 달 기지에서 또 다른 나와 만나다! 가까운 미래. 달표면의 자원채굴 기지에 홀로 3년간 근무중인 주인공 샘 벨(샘 락웰). 그는 통신위성 고장으로 3년간 외부와 단절되어 자신을 돕는 컴퓨터 거티(케빈 스페이시)와 대화하며 외롭게 일하고 있다. 긴 3년의 근무를 끝내고 2주 후 귀환해 사랑하는 가족을 만날 희망에 부푼 샘. 그러나 샘은 어느 날 기지 안에서 신비로운 한 여인을 환영처럼 보는가 하면, 기지 밖에서도 미스터리한 존재를 보게 되면서 달 기지에 무언가 비밀이 있음을 알게 된다. 환영인지 실체인지 알 수 없는 존재를 조사하던 샘은 중 곧 충격적인 사실을 알게되는데…",샘 록웰,케빈 스페이시,맷 베리,,,
19708024,작은거인,Little Big Man,"드라마,서부극(웨스턴),어드벤처,전쟁",미국,아서 펜,http://cfile189.uf.daum.net/C110x160/13100E1449A1129AC34060,"인디안 포니족의 습격으로 부모를 잃고 누나와 단 둘이 살아남은 잭 크랩(Jack Crabb : 더스틴 호프만 분)은 평화를 사랑하는 샤이엔족에게 구출되어 그들의 일원으로 성장한다. 조그마한 덩치때문에 인디안식 이름으로 '작은 거인'이라 불리던 잭은 캠프를 습격해온 기병대에 의해 백인들의 세계로 돌아간다. 목사집에 맡겨진 잭은 목사의 부인인 팬드레이크(Louise Pendrake : 페이 다나웨이 분) 부인의 유혹과 타락을 체험한 뒤 떠돌이 장사꾼을 따라나선다. 그러나 친구의 배신으로 전재산을 날린 잭은 우연히 만난 커스터 장군(General Custer : 리차드 뮬리간 분)의 충고에 따라 서부로 떠난다.험난한 여정에다가 인디안들에게 아내까지 납치당하는 불운을 겪는 잭. 그는 수년간의 방황끝에 그 옛날 자신을 키워준 샤이엔족과 재회한 뒤, 진정한 인디안으로 살아가지만...",더스틴 호프먼,페이 더너웨이,치프 댄 조지,,,
19710127,신용검객,"Shinyong, The Magic Sword",액션,한국,장진원,http://cfile89.uf.daum.net/C110x160/17689E114B2B4A1F8BE614,횡포가 심한 원님은 신용검을 차지하려고 검객 유천풍을 찾아 헤매지만 이미 유천풍은 이름 없는 검객으로서 20년간이나 원님에게 잡혀있게 된다. 젊은 검객 지춘은 명성을 얻고자 역시 유천풍을 찾아다니나 원님 부하에게 불의의 습격을 받아 간신히 유천풍의 제자 대비의 도움으로 위기를 모면한다. 대비의 계략에 의해 원님은 속고 유천풍은 탈출하여 도망간다. 그러나 지춘은 유천풍에게 대결을 요구하나 유천풍은 일부러 대결에 져 신용검을 넘겨준다. 돌아가다 스승의 처를 만나 지춘이 자기 아들이라는 것을 알게되고 신용검으로 인해 아들의 횡포와 생명의 위험을 염려하여 다시 찾아가나 지춘의 부하에게 죽음을 당한다. 그후 지춘은 유천풍이가 자기 아버지인 것을 알고 실망과 자책으로 신용검을 부러뜨리고 만다.,정홍,방수일,,,,
19710147,만나봐도 지금은,When We Meet Again,멜로/로맨스,한국,장진영,http://cfile189.uf.daum.net/C110x160/1124311049AD5B462E7813,한신과 옥선은 과거에 집안의 반대를 무릅쓰고 사랑했던 사이다. 옥선이 원래 기생이었기 때문에 한신의 아버지는 노발대발 해서 한신을 쫓아낸다. 따로 나와 사는 그들은 또 한번의 폭풍우로 서로 헤어진다. 세월이 흘러 이제 출판사 사장이 된 옥선은 지금까지 3류화가로 있는 한신을 찾는다. 옥선은 한신의 딸 진이를 기르고 있다. 한신은 어느날 옥선의 출판사로 부터 삽화를 그려달라는 의뢰를 받는다. 옥선은 진이에게 모든 것을 말하고 한신과 셋이서 만난다. 한신은 첫눈에 알아보지만 이제는 서로 어쩔 수 없는 처지. 옥선 역시 한신을 미워하면서도 가슴속에는 못내 아쉬운 정이 남아있다. 결국 진이는 유학을 가고 옥선과 한신은 각자의 길을 간다.,김지미,김진규,,,,
19720147,권왕의 복수,Revenge of the grand master of martial art,액션,한국,장진원,http://cfile89.uf.daum.net/C110x160/113E161049B0B5515DC0A9,홍갑웅 일당은 고리라를 이용하여 횡포를 부리면서 권술경기의 승부를 조작해 돈을 번다. 청도권술관 관장의 아들 풍망은 고리라와 승부를 겨루려하나 아버지 풍전의 반대에 부딪히게 된다. 고리라와 송노의 경기에서 승부도박에 실패하자 홍갑웅은 송노를 죽이나 송노의 동생 명화는 풍망의 보호를 받게된다. 송노의 죽음을 규명하고자 노력하는 풍망앞에 백희라는 홍갑웅 일당의 일원이 등장하지만 백희는 풍망과의 사랑에 빠진다. 고리라에게 도전한 풍망은 홍갑웅 일당의 패거리에게 당하여 시력을 잃게되지만 아버지 풍전의 훈련으로 고리라를 격파하나 풍전은 홍갑웅에게 죽음을 당한다. 이에 분노한 풍망은 관원들과 함께 홍갑웅 일당을 일망타진하고 아버지의 복수를 한다.,김영인,유영국,,,,
